category,question,answer,source_file
cat1_usage_product,How is this used?,"Mixing ratio: 1g of microbial agent mixed with 1 jin of water; 30g needs 30 jin of water to make microbial solution. Each mu needs 10–20 jin of solution; adjust agent amount based on total area. Seed coating methods (two options): Spray method: Place potato seed pieces in a basin, use a sprayer to evenly spray the solution on the surface while turning, until pieces are 'moist but not dripping'. Soaking method: Soak seed pieces in the solution for 10–15 minutes, remove and place in a cool, shaded area for 1–2 hours (until surface has no standing water), then plant.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many bottles are in a bundle and how many grams is each? How many bottles and how many grams each?,"Hello, I'm here! 15g per bottle.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many jin of seeds can 30g coat?,"Mixing ratio:
1g of microbial agent mixed with 1 jin of water; 30g needs 30 jin of water to make microbial solution.
Each mu needs 10–20 jin of solution; adjust agent amount based on total area.
Seed coating methods (two options):
Spray method: Place potato seed pieces in a basin, use a sprayer to evenly spray the solution on the surface while turning, until pieces are 'moist but not dripping'.
Soaking method: Soak seed pieces in the solution for 10–15 minutes, remove and place in a cool, shaded area for 1–2 hours (until surface has no standing water), then plant.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Hi. My white fuzz issue isn't that severe. I've been spraying every day for about a week now. How much longer until it clears up?,"Dear, results should appear within 7–15 days.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Is this a spray-on product? The contents are liquid.,"Dear, I'm here! Feel free to ask anything! It's a liquid formulation, dear. 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles. You're welcome — that's what we're here for!",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many ml of product for 40 jin of water?,24% bifenazate: 20g mixed with 40 jin of water.,cat1_usage_product_real_english.jsonl
cat1_usage_product,"Hi, does just one application really protect the whole season?","The effect is very good, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Won't freezing affect its performance?,"Dear, once thawed it can still be used. Hello, I'm here! I'm truly sorry, dear, for the poor experience. We will work on improving.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Can it be used on all houseplants?,"Hello, I'm here! Most of them are compatible.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"After mixing, do I just place the potatoes directly in the water?","Yes, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Can this be used for weed control in orchards?,"Dear, I'm here! Feel free to ask anything! Dear, it's not recommended.",cat1_usage_product_real_english.jsonl
cat2_diagnosis,What is the mixing ratio for this product?,"45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water. Alright, dear!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Does a set of 100g + 100g treat one mu?,"Hello, I'm here! 500g covers one mu, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many jin of water can 500ml mix with?,"Dear, I'm here! Feel free to ask anything! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How do I use this?,"Dear, I'm here! Feel free to ask anything! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How much product for 30 jin of water?,"Hello, I'm here! 45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,You said 50 jin of water — I still have half a tank left and I don't dare use it.,"It's 1g per 1 jin of water, dear. Try making the concentration a bit stronger, dear. Your situation sounds fairly severe.",cat2_diagnosis_real_english.jsonl
cat1_usage_product,How do I use it?,45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Directions and dosage?,"Hello, I'm here! Spider Mite No.1: Dear, here are the usage instructions! Every 500g bottle of Spider Mite No.1 comes with a free bottle of fenpyroximate·etoxazole. Mix 500ml with 300 jin of water — that's one full bottle. Then add the free bifenazate·etoxazole, spray on crop foliage. 500g of this product covers one mu of land. For 100g, you will need to prepare a small supplementary pesticide yourself.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,What is the mixing ratio?,"Hello, I'm here! 45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Does it work on white aphids on Kalanchoe?,"Dear, I'm here! Feel free to ask anything! Dear, this is not an insecticide.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How do I mix with water?,29% bisultap: 1g mixed with 2 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Does it need to be used together with other pesticides?,"I'm here, dear. No need, dear. Alright!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many ml of product for 40 jin of water?,"Hello, I'm here! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,The thrips pesticide looks just like water — will it actually work?,"Thrips No.1: Dear, here are the usage instructions! Every 500g bottle of Thrips No.1 comes with a free bottle of fenpyroximate·etoxazole. Mix 500ml with 300 jin of water — that's one full bottle. Then add the free bifenazate·etoxazole, spray on crop foliage. 500g of this product covers one mu of land. Dear, if the insects haven't died, spray again — do not exceed 3 applications per season.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many jin of water can 500g mix with?,29% bisultap: 1g mixed with 2 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many jin of water does one bottle mix with?,"Spider Mite No.1: Dear, here are the usage instructions! Every 500g bottle of Spider Mite No.1 comes with a free bottle of fenpyroximate·etoxazole. Mix 500ml with 300 jin of water — that's one full bottle. Then add the free bifenazate·etoxazole, spray on crop foliage. 500g of this product covers one mu of land. For 100g, you will need to prepare a small supplementary pesticide yourself.",cat2_diagnosis_real_english.jsonl
cat1_usage_product,How many ml to use for Chinese cabbage?,29% bisultap: 1g mixed with 2 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,What is 500ml equivalent to?,"Dear, I'm here! Feel free to ask anything! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How do I mix this? How much product per how much water?,"45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water. Alright, dear!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Do you carry hymexazol and metalaxyl·fludioxonil? I'd like to use them together.,"Hello, I'm here! We have this one, dear. Hello, I'm here!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Can this kill vegetable pests?,"Hello, I'm here! Yes, it can, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How much product per tank of water?,"Dear, I'm here! Feel free to ask anything! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I've already thrown away the rotten leaves. How many applications will it take to fully clear it up? My lettuce leaves haven't started yellowing yet — it's just patches of white fuzz appearing on the undersides of the leaves here and there.,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Can it be sprayed while the tree is fruiting? It's a lemon tree that has red spider mites. How much per 1 litre of water?,"Hello, I'm here! Yes, it can, dear. 45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water. Alright!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,What is the main function of this product?,"Hello, I'm here! It's an insecticide, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,That's not clear enough.,"Hello, I'm here! Please follow this ratio, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Dosage for black-skinned sugarcane?,"Dear, you have absolutely nothing to worry about regarding quality — the value for money is also very high! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How about for fruit trees?,29% bisultap: 1g mixed with 2 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Can it treat stem borers in green beans?,"Hello, I'm here! Yes, it can, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"OK, thanks!",You're welcome — that's what we're here for!,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I've already sprayed three times and they're still not dead. What do I do?,"Dear, how much water did you mix with?",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,The roots of my lettuce are all rotting — what product should I use?,"Dear, please take a look at this recommendation.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How do I dilute it?,45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,What is the mixing ratio?,"45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water. Alright, dear!",cat2_diagnosis_real_english.jsonl
cat4_safety_sensitive,What are the active ingredients in this pesticide? I can't read it clearly.,"We don't have actual product photos available at the moment, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"Got it, thanks!",You're welcome — that's what we're here for!,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How much product per tank of water?,29% bisultap: 1g mixed with 2 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How much is a set? Is this already pre-mixed?,"Yes, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"Dear, how much water per bottle cap?",45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I'm asking you what the main insecticidal ingredients are — what exactly is shown there?,"Dear, that image shows the active ingredients.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How do I mix with water?,"Sorry for the typo, dear! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,My growing lettuce is developing yellow spots on the leaves — can it be fully cured?,"Hello, I'm here! It can improve the condition, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"Please ship via China Post, thank you.","It is China Post, dear. Dear, thank you for your review — we've sent you a 0.60 yuan cashback via [WeChat]. You can check it there. Thank you for your support!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I asked the strawberry seedling seller and they said it's red spider mites. How do I use this product?,45% fenpyroximate·etoxazole: 15g mixed with 30 jin of water.,cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many grams per sprayer tank?,"Hello, I'm here! 29% bisultap: 1g mixed with 2 jin of water.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"Boss, how many tanks of water does one bottle of this insect-frost spray cover?","Dear, I'm here! Feel free to ask anything! 29% bisultap: 1g mixed with 2 jin of water. Dear, I'm here! Feel free to ask anything!",cat2_diagnosis_real_english.jsonl
cat3_aftersales_logistics,You're selling this product and you haven't even measured it?,"Please use it according to this ratio, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many jin of water does 500g mix with?,"Dear, here are the usage instructions! Every 500g bottle of Spider Mite No.1 comes with a free bottle of fenpyroximate·etoxazole. Mix 500ml with 300 jin of water — that's one full bottle. Then add the free bifenazate·etoxazole, spray on crop foliage. 500g of this product covers one mu of land. For 100g, you will need to prepare a small supplementary pesticide yourself.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Is it freshly manufactured?,"Dear, due to high product turnover in our store, our customer service team is unable to check specific production dates.",cat2_diagnosis_real_english.jsonl
cat1_usage_product,How much water for one bag?,"Hello, I'm here! Dear, please refer to this. Alright!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,What is the difference between this and paraquat?,"Dear, you can check the product details page — it has all the information.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Mix with water to use?,"For leaves with severe bacterial infection showing yellowing, powdery mildew, black spots, etc., you can trim the affected leaves first to prevent the bacteria from spreading and competing for nutrients. Then mix 1g with 1 jin of water, spray the fungicide on the foliage once every 5 days or so. Improvement will be seen after 3–4 application cycles.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I added your free product too — why still no result?,"Dear, did you spray both sides of the leaves? Dear, results appear within 5–7 days.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,How many mu can it treat?,"500g covers one mu, dear. Sorry, I didn't quite understand your question, dear.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Is this an insecticide or an adjuvant?,"Hello, I'm here! This is an adjuvant, dear. Its role is 'supplementary' — it needs to be used alongside a pesticide. It helps the active ingredients of pesticides adhere better to crop surfaces, penetrate into leaves, and disperse evenly in the spray solution, while reducing spray runoff and evaporation, thereby improving the pesticide's effectiveness, stability, and ease of use.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,There are some spots on the backs of the leaves.,"I see, dear. You're welcome — that's what we're here for!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I'm asking how to use this product!,"For leaves with severe bacterial infection showing yellowing, powdery mildew, black spots, etc., trim the affected leaves first to prevent the bacteria from spreading and competing for nutrients. Then mix 1g with 1 jin of water, spray the fungicide on the foliage once every 5 days or so. Improvement will be seen after 3–4 application cycles.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,Does this guarantee that the weeds will die and roots will rot?,"Hello, I'm here! Dear, there are many factors that affect a product's effectiveness and we can't guarantee results — it depends on application timing, environmental conditions, and spraying technique. You can scan the QR code to verify the product is genuine.",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,I already added it. How long before the red spider mites die?,"Dear, results appear within 5–7 days. Alright!",cat2_diagnosis_real_english.jsonl
cat2_diagnosis,"Dear, I received the fungicide — how should I best use it on my rose?","Sure, dear!",cat2_diagnosis_real_english.jsonl
cat3_aftersales_logistics,"Is it from 2025? It won't be expired, right?","Dear, it's a good date, don't worry.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Isn't this the right one?,"Dear, is the packaging damaged?",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,If it doesn't work I want a refund without returning the item.,"Within 7 days of signing for the package, returns and exchanges are supported as long as the item is in resalable condition.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"Dear, I only ordered one item — why are there multiple parcels?","Dear, the order shows it has already been returned and refunded.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,I want it sent via China Post.,"Dear, I'm here! It is China Post, dear.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,How many days will it take to arrive?,"Hello, I'm here! It depends on courier transit times, dear. We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Why hasn't it shipped yet? Why has it been in the same place for a week?,"Hello, I'm here! We have already chased this up for you, dear. Please wait patiently, dear.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,What courier do you use? How do I use it?,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"The seal is intact, but there's some leakage — the liquid is almost all gone.","I've reported this on your behalf and will reply as soon as possible. Dear, I'm so sorry! I've applied for a refund-only for you — no need to return the item. Would that be OK? If you agree, please click the button on the card below. Please tap to confirm, dear — I've submitted the application. Alright, dear!",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Which courier? China Post?,"We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Make it 2 yuan then.,"Dear, I'm truly sorry! I've applied for a refund-only for you — no need to return the item. Would that be OK? If you agree, please click the button on the card below. Hello, I'm here! You're welcome — that's what we're here for!",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Please send via China Post.,"Hello, I'm here! We ship via China Post, dear.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Where do you ship from?,"We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"No, I wasn't wrong — it is this one.","Dear, yes, it is this one.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Your own product image!,"Dear, did you add the supplementary pesticide?",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"Great, thank you!",You're welcome — that's what we're here for!,cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"I don't want this item for now — I'm returning it immediately. Sorry, I clicked by mistake — I'll come back another time.","Hello, I'm here! Alright, no problem.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"My reason is that the delivery took a full week and never arrived, so my plants all died and I didn't go to collect it.","Dear, I'm here! Feel free to ask anything! Dear, it has been returned. Please apply for a refund, dear.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Where do you ship from?,"We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,There are only two bottles.,"Take them out so I can see, dear. We'll verify it. There's still one package that hasn't been sent. We'll check on it. We can resend, dear. Please send the correct recipient name, phone number, and delivery address in text form, and we'll register the change with the courier company.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,What courier do you use? I'm in Hainan.,"Hello, I'm here! We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"Oh OK, I'll go ahead and use it then. Can it be used on all flowers?","Alright! Yes, it can!",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,Order card — I've successfully joined the group purchase. Can you ship as soon as possible?,"Dear, orders are generally shipped within 48 hours of being placed. Dear, I'll push for your order to be prioritised — it will be arranged as soon as possible!",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,My plant is urgently sick with powdery mildew! Can it ship today? Can you use ZTO Express? Please don't use China Post — it's too slow!,"Hello, I'm here! We ship from Zhejiang — China Post is the default courier and specific courier selection is not supported. Delivery takes 3–5 days after shipment, subject to courier transit times.",cat3_aftersales_logistics_real_english.jsonl
cat3_aftersales_logistics,"OK, I'll send it tomorrow. It's been snowing heavily here — I'll send you the photos tomorrow. Looking at these two orders, there's still one I haven't received.","Dear, I'm here! Feel free to ask! Dear, please cancel the after-sales claim — we've contacted the courier. The refund amount on your order is incorrect.",cat3_aftersales_logistics_real_english.jsonl
